model,horizon,fold_id,metric,value,source
HistoricAverage,20,0,MASE,28.33879345391324,classical_full
HistoricAverage,20,0,DA,54.285714285714285,classical_full
HistoricAverage,20,0,HitRate_0.5pct,38.0281690140845,classical_full
HistoricAverage,20,0,fit_seconds,0.0020539760589599,classical_full
HistoricAverage,20,0,pred_seconds,0.0,classical_full
HistoricAverage,20,0,n_eval,71.0,classical_full
Prophet,20,0,MAE,2.249485421959042,classical_full
Prophet,20,0,RMSE,2.828377045753962,classical_full
Prophet,20,0,MAPE,3.346894057881693,classical_full
Prophet,20,0,sMAPE,3.261008502729782,classical_full
Prophet,20,0,R2,-57.93199074949267,classical_full
Prophet,20,0,MASE,4.463531747630364,classical_full
Prophet,20,0,DA,54.285714285714285,classical_full
Prophet,20,0,HitRate_0.5pct,32.3943661971831,classical_full
Prophet,20,0,fit_seconds,0.6454596519470215,classical_full
Prophet,20,0,pred_seconds,0.0391120910644531,classical_full
Prophet,20,0,n_eval,71.0,classical_full
MLForecast_LGBM,20,0,MAE,0.8269049874171026,classical_full
MLForecast_LGBM,20,0,RMSE,0.9074249785795414,classical_full
MLForecast_LGBM,20,0,MAPE,1.227418262087736,classical_full
MLForecast_LGBM,20,0,sMAPE,1.2365281684755536,classical_full
MLForecast_LGBM,20,0,R2,-5.065937953955417,classical_full
MLForecast_LGBM,20,0,MASE,1.6407826552597806,classical_full
MLForecast_LGBM,20,0,DA,55.71428571428572,classical_full
MLForecast_LGBM,20,0,HitRate_0.5pct,38.0281690140845,classical_full
MLForecast_LGBM,20,0,fit_seconds,0.0856215953826904,classical_full
MLForecast_LGBM,20,0,pred_seconds,0.1609113216400146,classical_full
MLForecast_LGBM,20,0,n_eval,71.0,classical_full
Naive,1,1,MAE,0.329444444444444,classical_full
Naive,1,1,RMSE,0.3581200915893995,classical_full
Naive,1,1,MAPE,0.4907565424098433,classical_full
Naive,1,1,sMAPE,0.4921483660747182,classical_full
Naive,1,1,R2,-3.2159677763009427,classical_full
Naive,1,1,MASE,0.6799452581742852,classical_full
Naive,1,1,DA,52.94117647058824,classical_full
Naive,1,1,HitRate_0.5pct,2.2222222222222223,classical_full
Naive,1,1,fit_seconds,0.0,classical_full
Naive,1,1,pred_seconds,0.0,classical_full
Naive,1,1,n_eval,90.0,classical_full
SeasonalNaive,1,1,MAE,0.1794444444444443,classical_full
SeasonalNaive,1,1,RMSE,0.2454587541726711,classical_full
SeasonalNaive,1,1,MAPE,0.2674820228069074,classical_full
SeasonalNaive,1,1,sMAPE,0.2678324739726681,classical_full
SeasonalNaive,1,1,R2,-0.9806008461764596,classical_full
SeasonalNaive,1,1,MASE,0.3703580411303445,classical_full
SeasonalNaive,1,1,DA,65.45454545454545,classical_full
SeasonalNaive,1,1,HitRate_0.5pct,2.2222222222222223,classical_full
SeasonalNaive,1,1,fit_seconds,0.0,classical_full
SeasonalNaive,1,1,pred_seconds,0.0,classical_full
SeasonalNaive,1,1,n_eval,90.0,classical_full
RollingNaive,1,1,MAE,0.0805555555555552,classical_full
RollingNaive,1,1,RMSE,0.1203005495507897,classical_full
RollingNaive,1,1,MAPE,0.1200444570176414,classical_full
RollingNaive,1,1,sMAPE,0.1200889507805836,classical_full
RollingNaive,1,1,R2,0.5242540152798874,classical_full
RollingNaive,1,1,MASE,0.1662598017458197,classical_full
RollingNaive,1,1,DA,,classical_full
RollingNaive,1,1,HitRate_0.5pct,0.0,classical_full
RollingNaive,1,1,fit_seconds,0.0,classical_full
RollingNaive,1,1,pred_seconds,0.0,classical_full
RollingNaive,1,1,n_eval,90.0,classical_full
AutoARIMA,1,1,MAE,1.0401765513784924,classical_full
AutoARIMA,1,1,RMSE,1.246094269399753,classical_full
AutoARIMA,1,1,MAPE,1.5509508894034365,classical_full
AutoARIMA,1,1,sMAPE,1.53395246295306,classical_full
AutoARIMA,1,1,R2,-50.04364817187425,classical_full
AutoARIMA,1,1,MASE,2.146835758504212,classical_full
AutoARIMA,1,1,DA,53.62318840579711,classical_full
AutoARIMA,1,1,HitRate_0.5pct,4.444444444444445,classical_full
AutoARIMA,1,1,fit_seconds,2.358062744140625,classical_full
AutoARIMA,1,1,pred_seconds,0.0045318603515625,classical_full
AutoARIMA,1,1,n_eval,90.0,classical_full
AutoETS,1,1,MAE,1.1326459390064452,classical_full
AutoETS,1,1,RMSE,1.3702796369528758,classical_full
AutoETS,1,1,MAPE,1.6887626293516096,classical_full
AutoETS,1,1,sMAPE,1.668230002802848,classical_full
AutoETS,1,1,R2,-60.724604644540186,classical_full
AutoETS,1,1,MASE,2.337684694354181,classical_full
AutoETS,1,1,DA,53.62318840579711,classical_full
AutoETS,1,1,HitRate_0.5pct,4.444444444444445,classical_full
AutoETS,1,1,fit_seconds,0.6964783668518066,classical_full
AutoETS,1,1,pred_seconds,0.0047507286071777,classical_full
AutoETS,1,1,n_eval,90.0,classical_full
AutoTheta,1,1,MAE,0.97445931430042,classical_full
AutoTheta,1,1,RMSE,1.1821213259271963,classical_full
AutoTheta,1,1,MAPE,1.4529145424180858,classical_full
AutoTheta,1,1,sMAPE,1.4376425301167046,classical_full
AutoTheta,1,1,R2,-44.93714640320656,classical_full
AutoTheta,1,1,MASE,2.0112009815787624,classical_full
AutoTheta,1,1,DA,55.072463768115945,classical_full
AutoTheta,1,1,HitRate_0.5pct,4.444444444444445,classical_full
AutoTheta,1,1,fit_seconds,0.1622750759124755,classical_full
AutoTheta,1,1,pred_seconds,0.0053002834320068,classical_full
AutoTheta,1,1,n_eval,90.0,classical_full
HistoricAverage,1,1,MAE,12.933805300713551,classical_full
HistoricAverage,1,1,RMSE,12.934981237655292,classical_full
HistoricAverage,1,1,MAPE,19.285569700219057,classical_full
HistoricAverage,1,1,sMAPE,21.34399562884201,classical_full
HistoricAverage,1,1,R2,-5499.111772038823,classical_full
HistoricAverage,1,1,MASE,26.694271925573904,classical_full
HistoricAverage,1,1,DA,50.72463768115942,classical_full
HistoricAverage,1,1,HitRate_0.5pct,0.0,classical_full
HistoricAverage,1,1,fit_seconds,0.0030350685119628,classical_full
HistoricAverage,1,1,pred_seconds,0.0030088424682617,classical_full
HistoricAverage,1,1,n_eval,90.0,classical_full
Prophet,1,1,MAE,1.0621038532906666,classical_full
Prophet,1,1,RMSE,1.2639254704909046,classical_full
Prophet,1,1,MAPE,1.5848844498506731,classical_full
Prophet,1,1,sMAPE,1.5935861868544232,classical_full
Prophet,1,1,R2,-51.51493600568469,classical_full
Prophet,1,1,MASE,2.1920918410126937,classical_full
Prophet,1,1,DA,47.82608695652174,classical_full
Prophet,1,1,HitRate_0.5pct,4.444444444444445,classical_full
Prophet,1,1,fit_seconds,0.8557531833648682,classical_full
Prophet,1,1,pred_seconds,0.0511155128479003,classical_full
Prophet,1,1,n_eval,90.0,classical_full
MLForecast_LGBM,1,1,MAE,0.0996758307372862,classical_full
MLForecast_LGBM,1,1,RMSE,0.1440167019962772,classical_full
MLForecast_LGBM,1,1,MAPE,0.1485222801113548,classical_full
MLForecast_LGBM,1,1,sMAPE,0.1486376673587575,classical_full
MLForecast_LGBM,1,1,R2,0.3181864442265658,classical_full
MLForecast_LGBM,1,1,MASE,0.2057224202966626,classical_full
MLForecast_LGBM,1,1,DA,65.21739130434783,classical_full
MLForecast_LGBM,1,1,HitRate_0.5pct,2.2222222222222223,classical_full
MLForecast_LGBM,1,1,fit_seconds,0.0955569744110107,classical_full
MLForecast_LGBM,1,1,pred_seconds,0.1680727005004882,classical_full
MLForecast_LGBM,1,1,n_eval,90.0,classical_full
Naive,5,1,MAE,0.3418604651162788,classical_full
Naive,5,1,RMSE,0.3660759865205265,classical_full
Naive,5,1,MAPE,0.5092319684583525,classical_full
Naive,5,1,sMAPE,0.5106862486016925,classical_full
Naive,5,1,R2,-3.6589733947541374,classical_full
Naive,5,1,MASE,0.7055708667513078,classical_full
Naive,5,1,DA,55.84415584415584,classical_full
Naive,5,1,HitRate_0.5pct,4.651162790697675,classical_full
Naive,5,1,fit_seconds,0.0,classical_full
Naive,5,1,pred_seconds,0.0,classical_full
Naive,5,1,n_eval,86.0,classical_full
SeasonalNaive,5,1,MAE,0.1779069767441858,classical_full
SeasonalNaive,5,1,RMSE,0.2466048529294828,classical_full
SeasonalNaive,5,1,MAPE,0.2651290106291727,classical_full
SeasonalNaive,5,1,sMAPE,0.2655207935927246,classical_full
SeasonalNaive,5,1,R2,-1.114223935320091,classical_full
SeasonalNaive,5,1,MASE,0.367184838819558,classical_full
SeasonalNaive,5,1,DA,58.82352941176471,classical_full
SeasonalNaive,5,1,HitRate_0.5pct,4.651162790697675,classical_full
SeasonalNaive,5,1,fit_seconds,0.0,classical_full
SeasonalNaive,5,1,pred_seconds,0.0,classical_full
SeasonalNaive,5,1,n_eval,86.0,classical_full
RollingNaive,5,1,MAE,0.1354651162790704,classical_full
RollingNaive,5,1,RMSE,0.1975871900564882,classical_full
RollingNaive,5,1,MAPE,0.2018660489186913,classical_full
RollingNaive,5,1,sMAPE,0.2019881684601218,classical_full
RollingNaive,5,1,R2,-0.3572670865845646,classical_full
RollingNaive,5,1,MASE,0.2795884557024757,classical_full
RollingNaive,5,1,DA,61.66666666666667,classical_full
RollingNaive,5,1,HitRate_0.5pct,3.488372093023256,classical_full
RollingNaive,5,1,fit_seconds,0.0,classical_full
RollingNaive,5,1,pred_seconds,0.0,classical_full
RollingNaive,5,1,n_eval,86.0,classical_full
AutoARIMA,5,1,MAE,1.0860604014574262,classical_full
AutoARIMA,5,1,RMSE,1.2746684852186938,classical_full
AutoARIMA,5,1,MAPE,1.6193513602815683,classical_full
AutoARIMA,5,1,sMAPE,1.6015643310337422,classical_full
AutoARIMA,5,1,R2,-55.486185063283976,classical_full
AutoARIMA,5,1,MASE,2.241536114858869,classical_full
AutoARIMA,5,1,DA,54.54545454545454,classical_full
AutoARIMA,5,1,HitRate_0.5pct,6.976744186046512,classical_full
AutoARIMA,5,1,fit_seconds,2.4449331760406494,classical_full
AutoARIMA,5,1,pred_seconds,0.0039238929748535,classical_full
AutoARIMA,5,1,n_eval,86.0,classical_full
AutoETS,5,1,MAE,1.1840159617297674,classical_full
AutoETS,5,1,RMSE,1.401758506300271,classical_full
AutoETS,5,1,MAPE,1.7653469543704934,classical_full
AutoETS,5,1,sMAPE,1.7438600370846289,classical_full
AutoETS,5,1,R2,-67.31155131263625,classical_full
AutoETS,5,1,MASE,2.44370804351683,classical_full
AutoETS,5,1,DA,54.54545454545454,classical_full
AutoETS,5,1,HitRate_0.5pct,6.976744186046512,classical_full
AutoETS,5,1,fit_seconds,0.6730613708496094,classical_full
AutoETS,5,1,pred_seconds,0.0017354488372802,classical_full
AutoETS,5,1,n_eval,86.0,classical_full
AutoTheta,5,1,MAE,1.0175877105529374,classical_full
AutoTheta,5,1,RMSE,1.209225098902523,classical_full
AutoTheta,5,1,MAPE,1.517206100318534,classical_full
AutoTheta,5,1,sMAPE,1.5012252461455196,classical_full
AutoTheta,5,1,R2,-49.834909341344975,classical_full
AutoTheta,5,1,MASE,2.100214316054664,classical_full
AutoTheta,5,1,DA,54.54545454545454,classical_full
AutoTheta,5,1,HitRate_0.5pct,6.976744186046512,classical_full
AutoTheta,5,1,fit_seconds,0.1315317153930664,classical_full
AutoTheta,5,1,pred_seconds,0.0046408176422119,classical_full
AutoTheta,5,1,n_eval,86.0,classical_full
HistoricAverage,5,1,MAE,12.945446127586932,classical_full
HistoricAverage,5,1,RMSE,12.946557057346126,classical_full
HistoricAverage,5,1,MAPE,19.2996075562405,classical_full
HistoricAverage,5,1,sMAPE,21.361174589458106,classical_full
HistoricAverage,5,1,R2,-5826.151734374905,classical_full
HistoricAverage,5,1,MASE,26.71829760021271,classical_full
HistoricAverage,5,1,DA,49.35064935064935,classical_full
HistoricAverage,5,1,HitRate_0.5pct,2.3255813953488373,classical_full
HistoricAverage,5,1,fit_seconds,0.0026853084564208,classical_full
HistoricAverage,5,1,pred_seconds,0.0036613941192626,classical_full
